Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2018-03-27,,,,,5.214,,28.000,,,,13406.000,
2018-03-28,,,,,1.928,,18.000,,,,5089.000,
2018-03-29,,,,,4.116,,13.000,,,,10462.000,
2018-03-30,,,,,2.078,,12.000,,,,5504.000,
2018-03-31,,,,,1.145,,5.000,,,,3140.810,
2018-04-01,,,,,2.572,,22.000,,,,6357.190,
2018-04-02,,,,,5.335,,40.000,,,,12047.000,
2018-04-03,,,,,2.187,,16.000,,,,5158.000,
2018-04-04,,,,,3.707,,45.000,,,,9309.000,
2018-04-05,,,,,2.497,,25.000,,,,6499.000,
2018-04-06,,,,,4.282,,66.000,,,,10841.042,
2018-04-07,,,,,3.865,,33.000,,,,10060.396,
2018-04-08,,,,,4.403,,36.000,,,,11462.563,
2018-04-09,,,,,3.343,,36.000,,,,8299.000,
2018-04-10,,,,,4.412,,22.000,,,,10566.000,
2018-04-11,,,,,3.055,,28.000,,,,7924.000,
2018-04-12,,,,,3.700,,30.000,,,,9558.000,
2018-04-13,,,,,4.554,,42.000,,,,11635.000,
2018-04-14,,,,,4.088,,39.000,,,,10059.497,
2018-04-15,,,,,3.471,,14.000,,,,8242.008,
2018-04-16,,,,,2.904,,30.000,,,,7481.495,
2018-04-17,,,,,3.778,,29.000,,,,9754.329,
2018-04-18,,,,,2.166,,13.000,,,,5262.671,
2018-04-19,,,,,4.738,,44.000,,,,12291.000,
2018-04-20,,,,,3.257,,28.000,,,,8688.000,
2018-04-21,,,,,1.404,,15.000,,,,3699.000,
2018-04-22,,,,,3.846,,24.000,,,,10061.360,
2018-04-23,,,,,4.621,,28.000,,,,11979.640,
2018-04-24,,,,,4.438,,23.000,,,,11529.000,
2018-04-25,,,,,2.485,,17.000,,,,5981.173,
2018-04-26,,,,,4.251,,32.000,,,,10982.332,
2018-04-27,,,,,5.231,,57.000,,,,13380.495,
2018-04-28,,,,,1.881,,22.000,,,,4829.000,
2018-04-29,,,,,5.361,,36.000,,,,13987.000,
2018-04-30,,,,,2.337,,15.000,,,,6021.000,
2018-05-01,,,,,6.147,,32.000,,,,12112.000,
2018-05-02,,,,,5.555,,42.000,,,,14353.000,
2018-05-03,,,,,3.144,,22.000,,,,8062.000,
2018-05-04,,,,,4.467,,27.000,,,,11742.000,
2018-05-05,,,,,3.404,,9.000,,,,8716.000,
2018-05-06,,,,,3.006,,13.000,,,,7752.000,
2018-05-07,,,,,4.442,,25.000,,,,10826.000,
2018-05-08,,,,,4.902,,29.000,,,,12453.246,
2018-05-09,,,,,5.621,,42.000,,,,14286.754,
2018-05-10,,,,,4.417,,37.000,,,,10788.566,
2018-05-11,,,,,5.240,,43.000,,,,13748.434,
2018-05-12,,,,,2.496,,17.000,,,,6555.000,
2018-05-13,,,,,2.301,,16.000,,,,6119.000,
2018-05-14,,,,,3.113,,6.000,,,,8478.000,
2018-05-15,,,,,4.000,,7.000,,,,9907.361,
2018-05-16,,,,,3.881,,6.000,,,,10050.639,
2018-05-17,,,,,2.724,,5.000,,,,6817.000,
2018-05-18,,,,,1.051,,3.000,,,,2484.000,
2018-05-19,,,,,1.891,,1.000,,,,4934.675,
2018-05-20,,,,,3.712,,15.000,,,,6239.325,
2018-05-21,,,,,2.262,,10.000,,,,5779.000,
2018-05-22,,,,,1.417,,4.000,,,,3533.000,
2018-05-23,,,,,1.053,,2.000,,,,2766.000,
2018-05-24,,,,,1.791,,5.000,,,,4615.000,
2018-05-25,,,,,4.467,,16.000,,,,8624.539,
2018-05-26,,,,,1.794,,3.000,,,,4769.423,
2018-05-27,,,,,4.320,,26.000,,,,8315.038,
2018-05-28,,,,,1.083,,7.000,,,,2852.000,
2018-05-29,,,,,1.901,,22.000,,,,5166.000,
2018-05-30,,,,,1.280,,9.000,,,,3151.000,
2018-05-31,,,,,5.122,,20.000,,,,12067.272,
2018-06-01,,,,,1.720,,15.000,,,,4457.728,
2018-06-02,,,,,3.938,,10.000,,,,9064.408,
2018-06-03,,,,,2.591,,14.000,,,,6583.592,
2018-06-04,,,,,3.114,,17.000,,,,8556.000,
2018-06-05,,,,,2.886,,15.000,,,,7742.000,
2018-06-06,,,,,0.901,,1.000,,,,2329.634,
2018-06-07,,,,,3.589,,3.000,,,,9829.366,
2018-06-08,,,,,4.528,,21.000,,,,12345.148,
2018-06-09,,,,,3.199,,10.000,,,,8380.852,
2018-06-10,,,,,1.384,,4.000,,,,3754.000,
2018-06-11,,,,,4.843,,20.000,,,,11849.000,
2018-06-12,,,,,3.341,,16.000,,,,7930.000,
2018-06-13,,,,,4.267,,23.000,,,,11340.000,
2018-06-14,,,,,2.562,,17.000,,,,6745.000,
2018-06-15,,,,,4.558,,19.000,,,,11936.000,
2018-06-16,,,,,5.612,,17.000,,,,14043.841,
2018-06-17,,,,,1.759,,1.000,,,,4218.159,
2018-06-18,,,,,2.823,,25.000,,,,7256.000,
2018-06-19,10.889,1.000,240.119,,3.092,,15.000,63.600,,,8228.324,
2018-06-20,503.220,13.000,1971.978,,3.881,43.000,27.000,70.401,52.500,,7821.755,96.000
