Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2022-07-16 10:47:56 - 2022-07-16 11:09:14,100.170,Yoga,,1277.141,,,,1.000,0.000,0.000,0.000,0.000,86.629,109.000,4.980,,,,,
2022-07-16 10:48:34 - 2022-07-16 11:08:34,88.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,86.996,109.000,,,,,,
2022-07-17 09:43:14 - 2022-07-17 09:54:12,49.930,Yoga,,658.574,,,,1.000,0.000,0.000,0.000,0.000,82.873,106.000,5.174,,,,85.000,73.400
2022-07-17 09:44:13 - 2022-07-17 09:54:13,46.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,83.154,106.000,,,,,,
2022-07-17 09:54:50 - 2022-07-17 10:17:51,95.350,Yoga,,1377.565,,,,1.000,0.000,0.000,0.000,0.000,78.493,113.000,4.720,,,,85.000,73.400
2022-07-17 09:55:58 - 2022-07-17 10:17:28,91.000,Yoga (Indoor),,1290.000,,,,1.000,0.000,0.000,0.000,0.000,78.900,113.000,,,,,,
2022-07-18 08:02:03 - 2022-07-18 08:08:21,26.604,Walking,0.294,378.366,,625.501,605.109,1.000,0.000,0.000,0.000,0.000,88.541,95.000,4.904,,,,,
2022-07-18 08:08:32 - 2022-07-18 08:17:42,66.483,Functional Strength Training,,549.962,,,,0.283,0.505,0.212,0.000,0.000,123.384,145.000,7.458,,,,,
2022-07-18 08:17:50 - 2022-07-18 08:26:04,41.638,Walking,0.390,493.992,29.987,625.870,591.007,0.845,0.155,0.000,0.000,0.000,105.959,129.000,5.624,,,,,
2022-07-18 08:27:02 - 2022-07-18 08:34:08,52.867,Functional Strength Training,,426.100,,,,0.373,0.187,0.200,0.240,0.000,130.533,171.000,7.763,,,,,
2022-07-18 17:15:14 - 2022-07-18 18:12:18,177.932,Walking,1.600,3423.466,77.953,615.774,598.636,1.000,0.000,0.000,0.000,0.000,86.540,103.000,3.757,,,,51.000,84.200
2022-07-19 08:07:13 - 2022-07-19 08:12:56,22.273,Walking,0.285,342.960,,612.157,596.791,1.000,0.000,0.000,0.000,0.000,88.062,98.000,4.694,,,,,
2022-07-19 08:13:06 - 2022-07-19 08:23:12,79.449,Functional Strength Training,,606.192,,,,0.305,0.276,0.400,0.019,0.000,125.848,157.000,7.987,,,,,
2022-07-19 08:23:21 - 2022-07-19 08:31:04,36.171,Walking,0.375,462.853,28.051,641.911,593.259,0.748,0.218,0.034,0.000,0.000,111.483,141.000,5.413,,,,,
2022-07-19 08:31:56 - 2022-07-19 08:38:34,24.846,Functional Strength Training,,246.777,,,,1.000,0.000,0.000,0.000,0.000,102.328,115.000,6.314,,,,,
2022-07-19 13:54:03 - 2022-07-19 14:13:22,105.609,Functional Strength Training,,1158.232,,,,0.701,0.289,0.010,0.000,0.000,109.878,138.000,5.960,,,,48.000,89.600
2022-07-19 13:54:50 - 2022-07-19 14:04:50,63.000,Functional Strength Training (Indoor),,600.000,,,,0.707,0.293,0.000,0.000,0.000,110.976,134.000,,,,,,
2022-07-19 14:24:06 - 2022-07-19 15:22:38,354.328,Traditional Strength Training,,3511.782,,,,0.511,0.388,0.087,0.014,0.000,118.170,163.000,4.832,,,,48.000,89.600
2022-07-19 15:23:01 - 2022-07-19 15:32:52,60.684,Cooldown,,590.661,,,,0.889,0.111,0.000,0.000,0.000,102.128,125.000,6.767,,,,47.000,89.600
2022-07-19 15:23:14 - 2022-07-19 15:33:14,31.000,Preparation and Recovery (Indoor),,600.000,,,,0.908,0.092,0.000,0.000,0.000,101.361,124.000,,,,,,
2022-07-20 08:01:35 - 2022-07-20 08:28:31,124.138,Walking,1.478,1615.652,87.697,629.537,597.031,0.940,0.038,0.022,0.000,0.000,96.389,138.000,5.250,,,,,
